event_id,run_id,event_type,origin_station_id,start_minute,detectable_minute,peak_minute,resolved_minute,propagation_path,root_cause,severity,defect_signal_type
RUN016-EVT01,RUN-016,defect_propagation,S01,123,129,132,168,"S01,S02,S03,S04",Simulated defect propagation originating at S01. Signal pattern: temperature_shift.,medium,temperature_shift
RUN017-EVT01,RUN-017,defect_propagation,S14,29,36,42,81,"S14,S15,S16,S17",Simulated defect propagation originating at S14. Signal pattern: vibration_spike.,medium,vibration_spike
RUN017-EVT02,RUN-017,machine_failure,S08,105,106,109,120,"S08,S09,S10,S11",Simulated machine failure originating at S08.,high,
RUN017-EVT03,RUN-017,bottleneck,S21,49,58,72,95,"S21,S22,S23,S24,S25",Simulated bottleneck originating at S21.,low,
RUN017-EVT04,RUN-017,bottleneck,S02,66,81,106,135,"S02,S03,S04",Simulated bottleneck originating at S02.,medium,
RUN018-EVT01,RUN-018,defect_propagation,S21,154,164,171,212,"S21,S22,S23,S24,S25,S26,S27",Simulated defect propagation originating at S21. Signal pattern: cycle_time_drift.,critical,cycle_time_drift
RUN018-EVT02,RUN-018,defect_propagation,S17,133,141,150,175,"S17,S18,S19,S20,S21,S22,S23",Simulated defect propagation originating at S17. Signal pattern: component_quality.,high,component_quality
RUN020-EVT01,RUN-020,defect_propagation,S22,144,154,159,184,"S22,S23,S24,S25,S26",Simulated defect propagation originating at S22. Signal pattern: temperature_shift.,low,temperature_shift
RUN020-EVT02,RUN-020,sensorless_drift,S22,80,90,98,122,"S22,S23,S24,S25",Simulated sensorless drift originating at S22.,medium,
RUN021-EVT01,RUN-021,defect_propagation,S05,44,48,49,77,"S05,S06,S07,S08,S09,S10,S11",Simulated defect propagation originating at S05. Signal pattern: component_quality.,critical,component_quality
RUN021-EVT02,RUN-021,defect_propagation,S16,188,194,198,227,"S16,S17,S18",Simulated defect propagation originating at S16. Signal pattern: torque_drift.,high,torque_drift
RUN022-EVT01,RUN-022,defect_propagation,S16,156,166,169,205,"S16,S17,S18,S19,S20,S21",Simulated defect propagation originating at S16. Signal pattern: temperature_shift.,critical,temperature_shift
RUN023-EVT01,RUN-023,defect_propagation,S18,29,39,47,89,"S18,S19,S20",Simulated defect propagation originating at S18. Signal pattern: component_quality.,critical,component_quality
RUN024-EVT01,RUN-024,defect_propagation,S03,139,143,148,198,"S03,S04,S05,S06,S07",Simulated defect propagation originating at S03. Signal pattern: cycle_time_drift.,medium,cycle_time_drift
RUN025-EVT01,RUN-025,defect_propagation,S14,162,166,170,212,"S14,S15,S16,S17",Simulated defect propagation originating at S14. Signal pattern: cycle_time_drift.,medium,cycle_time_drift
RUN025-EVT02,RUN-025,machine_failure,S16,92,93,96,114,"S16,S17,S18",Simulated machine failure originating at S16.,low,
RUN025-EVT03,RUN-025,bottleneck,ENG01,24,33,49,74,"ENG01,S23,S24,S25,S26",Simulated bottleneck originating at ENG01.,low,
