run_id,minute_index,station_id,cycle_time_sec,queue_length,vibration_mm_s,torque_nm,temperature_c
RUN-PB-001,2,P09,60.48,0,0.802,143.62,42.51
RUN-PB-001,2,P10,52.12,0,,,
RUN-PB-001,2,BAT01,36.33,1,0.804,140.63,40.99
RUN-PB-001,2,BAT02,40.53,1,0.702,146.74,41.15
RUN-PB-001,2,BAT03,35.91,2,0.706,146.7,43.48
RUN-PB-001,2,BAT04,46.35,0,,,
RUN-PB-001,2,BAT05,44.61,1,0.827,144.07,41.33
RUN-PB-001,2,BAT06,49.59,3,0.775,147.04,40.81
RUN-PB-001,2,BAT07,42.01,0,0.754,146.61,43.73
RUN-PB-001,2,BAT08,53.82,3,0.761,146.52,42.15
RUN-PB-001,2,PT01,44.73,0,0.76,144.09,42.14
RUN-PB-001,2,PT02,46.91,1,0.798,145.92,41.58
RUN-PB-001,2,PT03,43.92,2,,141.38,
RUN-PB-001,2,PT04,40.26,1,0.725,145.61,41.55
RUN-PB-001,2,GA01,41.23,1,,146.63,
RUN-PB-001,2,GA02,45.11,1,0.696,144.89,42.19
RUN-PB-001,2,GA03,49.86,0,,,
RUN-PB-001,2,GA04,42.57,2,,145.86,
RUN-PB-001,2,GA05,39.34,2,0.772,148.12,42.39
RUN-PB-001,2,GA06,44.38,0,,,
RUN-PB-001,2,GA07,43.98,0,,,
RUN-PB-001,2,GA08,40.62,1,,144.57,
RUN-PB-001,2,GA09,47.48,0,,,
RUN-PB-001,2,GA10,47.42,0,0.748,151.01,41.98
RUN-PB-001,2,GA11,50.31,0,0.839,145.52,40.37
RUN-PB-001,2,GA12,44.85,0,0.716,144.55,41.41
RUN-PB-001,2,GA13,38.12,2,0.697,148.5,42.74
RUN-PB-001,2,GA14,42.04,4,0.718,145.29,42.76
RUN-PB-001,2,EOL01,45.88,2,,,41.61
RUN-PB-001,2,EOL02,43.81,2,0.771,146.55,42.9
RUN-PB-001,2,EOL03,53.78,1,0.745,142.18,42.45
RUN-PB-001,2,EOL04,54.7,0,0.761,144.36,40.67
RUN-PB-001,2,EOL05,48.24,2,,,43.6
RUN-PB-001,2,EOL06,44.94,3,0.839,147.0,42.14
RUN-PB-001,2,EOL07,60.32,0,,,
RUN-PB-001,3,ST01,34.67,1,0.716,144.94,42.94
RUN-PB-001,3,ST02,38.33,1,0.731,147.87,40.61
RUN-PB-001,3,ST03,39.78,1,0.694,141.76,42.93
RUN-PB-001,3,ST04,35.72,2,0.767,,
RUN-PB-001,3,ST05,41.84,0,0.812,148.75,42.68
RUN-PB-001,3,ST06,44.79,0,,,
RUN-PB-001,3,B01,42.73,3,0.746,144.18,41.56
RUN-PB-001,3,B02,44.03,1,0.716,144.67,41.17
RUN-PB-001,3,B03,38.89,1,0.772,145.35,42.36
RUN-PB-001,3,B04,40.92,1,0.804,142.82,42.32
RUN-PB-001,3,B05,42.44,2,0.782,143.44,43.53
RUN-PB-001,3,B06,42.89,4,0.761,147.41,42.25
RUN-PB-001,3,B07,45.73,3,0.753,142.28,43.3
RUN-PB-001,3,B08,37.54,2,0.765,144.84,42.26
RUN-PB-001,3,B09,42.19,3,,147.97,
RUN-PB-001,3,B10,40.36,2,,145.3,
RUN-PB-001,3,B11,47.23,1,0.668,141.12,41.76
RUN-PB-001,3,B12,49.22,0,,,
RUN-PB-001,3,P01,47.59,2,,,41.98
RUN-PB-001,3,P02,54.31,1,0.673,150.82,42.58
RUN-PB-001,3,P03,58.41,2,0.779,146.9,42.22
RUN-PB-001,3,P04,44.06,0,0.747,144.53,42.44
RUN-PB-001,3,P05,41.98,0,0.702,142.53,41.12
RUN-PB-001,3,P06,40.11,1,,,42.75
RUN-PB-001,3,P07,44.41,0,0.739,142.58,42.44
RUN-PB-001,3,P08,47.11,0,0.761,141.02,42.35
RUN-PB-001,3,P09,59.99,2,0.778,146.18,42.11
RUN-PB-001,3,P10,52.72,0,,,
RUN-PB-001,3,BAT01,36.69,2,0.735,143.2,42.72
RUN-PB-001,3,BAT02,39.82,1,0.812,142.91,43.72
RUN-PB-001,3,BAT03,37.29,2,0.765,148.06,43.3
RUN-PB-001,3,BAT04,45.08,0,,,
RUN-PB-001,3,BAT05,44.25,1,0.711,147.44,42.88
RUN-PB-001,3,BAT06,50.18,1,0.723,142.25,41.43
RUN-PB-001,3,BAT07,41.65,1,0.74,143.45,42.56
RUN-PB-001,3,BAT08,54.62,2,0.755,148.07,41.03
RUN-PB-001,3,PT01,46.0,1,0.771,146.4,42.06
RUN-PB-001,3,PT02,48.32,0,0.704,142.71,42.07
RUN-PB-001,3,PT03,44.95,1,,143.67,
RUN-PB-001,3,PT04,40.04,2,0.789,145.48,41.75
RUN-PB-001,3,GA01,42.08,2,,142.32,
RUN-PB-001,3,GA02,43.58,2,0.738,142.24,40.28
RUN-PB-001,3,GA03,50.23,0,,,
RUN-PB-001,3,GA04,42.34,1,,142.03,
RUN-PB-001,3,GA05,38.38,3,0.816,151.16,41.76
RUN-PB-001,3,GA06,44.61,0,,,
RUN-PB-001,3,GA07,44.3,0,,,
RUN-PB-001,3,GA08,41.17,0,,148.83,
RUN-PB-001,3,GA09,45.87,0,,,
RUN-PB-001,3,GA10,47.78,0,0.715,144.03,42.14
RUN-PB-001,3,GA11,50.1,2,0.75,146.25,43.83
RUN-PB-001,3,GA12,44.37,2,0.74,142.07,40.56
RUN-PB-001,3,GA13,38.32,1,0.788,143.56,39.93
RUN-PB-001,3,GA14,41.67,1,0.77,144.96,42.46
RUN-PB-001,3,EOL01,46.07,2,,,41.97
RUN-PB-001,3,EOL02,44.7,1,0.707,142.81,40.18
RUN-PB-001,3,EOL03,52.17,2,0.76,143.49,43.46
RUN-PB-001,3,EOL04,55.41,0,0.726,144.78,42.74
RUN-PB-001,3,EOL05,48.85,3,,,42.05
RUN-PB-001,3,EOL06,45.05,1,0.836,145.59,41.64
RUN-PB-001,3,EOL07,59.52,0,,,
RUN-PB-001,4,ST01,34.37,0,0.777,145.71,41.43
RUN-PB-001,4,ST02,37.53,0,0.794,147.49,41.39
RUN-PB-001,4,ST03,39.15,0,0.825,145.7,41.26
RUN-PB-001,4,ST04,36.39,1,0.811,,
RUN-PB-001,4,ST05,42.45,1,0.78,146.39,41.83
RUN-PB-001,4,ST06,44.64,0,,,
RUN-PB-001,4,B01,41.71,0,0.733,145.77,42.65
RUN-PB-001,4,B02,44.52,3,0.721,144.38,43.29
RUN-PB-001,4,B03,39.29,2,0.787,145.82,42.02
RUN-PB-001,4,B04,40.94,2,0.746,148.1,42.02
RUN-PB-001,4,B05,43.19,1,0.835,146.41,40.59
RUN-PB-001,4,B06,43.45,2,0.769,144.37,41.98
RUN-PB-001,4,B07,46.5,1,0.704,148.22,41.66
RUN-PB-001,4,B08,38.16,2,0.68,147.99,41.51
RUN-PB-001,4,B09,41.92,1,,143.04,
RUN-PB-001,4,B10,39.93,1,,146.81,
RUN-PB-001,4,B11,49.04,2,0.73,149.2,41.4
RUN-PB-001,4,B12,50.7,0,,,
RUN-PB-001,4,P01,47.66,2,,,42.77
RUN-PB-001,4,P02,54.63,2,0.791,144.57,41.64
RUN-PB-001,4,P03,58.42,2,0.798,143.92,41.29
RUN-PB-001,4,P04,43.49,0,0.743,148.78,42.5
RUN-PB-001,4,P05,41.39,2,0.843,147.87,41.76
RUN-PB-001,4,P06,40.72,1,,,41.06
RUN-PB-001,4,P07,44.68,1,0.789,147.58,41.84
RUN-PB-001,4,P08,45.78,2,0.77,144.93,43.42
RUN-PB-001,4,P09,61.0,1,0.727,142.5,42.24
RUN-PB-001,4,P10,52.46,0,,,
RUN-PB-001,4,BAT01,35.47,1,0.709,147.28,41.36
RUN-PB-001,4,BAT02,40.9,0,0.736,143.68,41.99
RUN-PB-001,4,BAT03,38.06,1,0.693,145.62,42.07
RUN-PB-001,4,BAT04,46.42,0,,,
RUN-PB-001,4,BAT05,44.48,0,0.687,141.67,43.93
RUN-PB-001,4,BAT06,50.05,1,0.767,143.93,41.57
RUN-PB-001,4,BAT07,42.38,1,0.728,144.26,42.12
RUN-PB-001,4,BAT08,54.23,0,0.841,142.32,39.66
RUN-PB-001,4,PT01,45.26,1,0.795,146.55,43.65
RUN-PB-001,4,PT02,48.01,2,0.714,143.43,42.48
RUN-PB-001,4,PT03,43.57,1,,141.38,
RUN-PB-001,4,PT04,39.78,3,0.776,144.85,41.41
RUN-PB-001,4,GA01,42.05,1,,147.6,
RUN-PB-001,4,GA02,44.79,1,0.722,140.42,42.16
RUN-PB-001,4,GA03,50.22,0,,,
RUN-PB-001,4,GA04,42.29,1,,144.16,
RUN-PB-001,4,GA05,38.43,1,0.771,145.06,43.13
RUN-PB-001,4,GA06,44.95,0,,,
RUN-PB-001,4,GA07,44.71,0,,,
RUN-PB-001,4,GA08,41.16,2,,148.29,
RUN-PB-001,4,GA09,44.73,0,,,
RUN-PB-001,4,GA10,47.66,1,0.729,146.91,43.01
RUN-PB-001,4,GA11,49.09,3,0.812,145.93,41.37
RUN-PB-001,4,GA12,45.72,0,0.694,145.71,41.79
RUN-PB-001,4,GA13,38.35,0,0.726,148.44,42.81
RUN-PB-001,4,GA14,40.84,0,0.756,146.28,42.14
RUN-PB-001,4,EOL01,46.21,2,,,42.52
RUN-PB-001,4,EOL02,43.42,1,0.758,145.35,42.88
RUN-PB-001,4,EOL03,52.15,0,0.747,143.66,41.93
RUN-PB-001,4,EOL04,55.2,0,0.76,143.91,42.6
RUN-PB-001,4,EOL05,48.12,1,,,41.58
RUN-PB-001,4,EOL06,45.4,0,0.731,145.92,43.47
RUN-PB-001,4,EOL07,59.87,0,,,
RUN-PB-001,5,ST01,34.04,0,0.789,147.38,43.37
RUN-PB-001,5,ST02,37.94,1,0.742,145.18,42.93
RUN-PB-001,5,ST03,39.44,0,0.762,145.66,42.51
RUN-PB-001,5,ST04,36.39,1,0.884,,
RUN-PB-001,5,ST05,42.53,1,0.762,148.05,43.4
RUN-PB-001,5,ST06,44.39,0,,,
RUN-PB-001,5,B01,42.25,2,0.757,143.44,42.16
RUN-PB-001,5,B02,43.55,1,0.684,143.93,41.45
RUN-PB-001,5,B03,38.16,1,0.746,145.21,40.83
RUN-PB-001,5,B04,40.81,2,0.712,145.94,41.86
RUN-PB-001,5,B05,42.53,1,0.74,145.26,40.27
RUN-PB-001,5,B06,42.99,2,0.804,143.23,40.79
RUN-PB-001,5,B07,44.92,3,0.671,143.79,42.12
RUN-PB-001,5,B08,38.97,0,0.795,142.92,40.23
RUN-PB-001,5,B09,41.47,2,,144.44,
RUN-PB-001,5,B10,40.1,1,,144.75,
RUN-PB-001,5,B11,48.42,3,0.762,142.14,42.09
RUN-PB-001,5,B12,49.98,0,,,
RUN-PB-001,5,P01,46.82,3,,,41.4
RUN-PB-001,5,P02,54.43,2,0.695,145.72,42.21
RUN-PB-001,5,P03,57.92,1,0.791,148.26,40.67
RUN-PB-001,5,P04,44.62,1,0.806,142.24,41.83
RUN-PB-001,5,P05,41.82,0,0.789,145.12,41.87
RUN-PB-001,5,P06,39.15,0,,,41.36
RUN-PB-001,5,P07,45.58,1,0.831,144.93,42.22
RUN-PB-001,5,P08,45.51,1,0.771,146.37,42.01
RUN-PB-001,5,P09,59.74,0,0.745,142.25,41.71
RUN-PB-001,5,P10,50.92,0,,,
RUN-PB-001,5,BAT01,36.14,2,0.795,144.73,42.36
RUN-PB-001,5,BAT02,39.06,1,0.694,149.33,43.79
RUN-PB-001,5,BAT03,38.38,1,0.775,143.03,41.5
RUN-PB-001,5,BAT04,45.9,0,,,
RUN-PB-001,5,BAT05,44.58,0,0.659,150.19,41.26
RUN-PB-001,5,BAT06,48.48,4,0.736,143.88,40.98
RUN-PB-001,5,BAT07,41.98,1,0.722,145.66,43.42
RUN-PB-001,5,BAT08,53.78,1,0.764,144.69,41.06
RUN-PB-001,5,PT01,44.99,2,0.77,142.74,41.48
RUN-PB-001,5,PT02,47.64,1,0.819,147.64,42.18
RUN-PB-001,5,PT03,43.97,4,,147.91,
RUN-PB-001,5,PT04,39.92,2,0.8,144.95,41.69
RUN-PB-001,5,GA01,42.67,1,,142.57,
RUN-PB-001,5,GA02,43.62,0,0.793,143.66,42.69
RUN-PB-001,5,GA03,50.31,0,,,
RUN-PB-001,5,GA04,42.71,2,,142.95,
RUN-PB-001,5,GA05,38.02,0,0.668,143.02,41.75
RUN-PB-001,5,GA06,43.86,0,,,
RUN-PB-001,5,GA07,43.89,0,,,
RUN-PB-001,5,GA08,40.54,3,,144.34,
RUN-PB-001,5,GA09,46.38,0,,,
RUN-PB-001,5,GA10,48.0,1,0.8,143.38,42.15
RUN-PB-001,5,GA11,49.34,3,0.789,142.11,42.05
RUN-PB-001,5,GA12,44.56,1,0.794,145.84,41.24
RUN-PB-001,5,GA13,37.62,0,0.751,144.18,42.12
RUN-PB-001,5,GA14,42.5,1,0.707,141.64,41.34
RUN-PB-001,5,EOL01,45.71,3,,,41.92
RUN-PB-001,5,EOL02,44.16,1,0.721,148.56,42.74
RUN-PB-001,5,EOL03,52.58,4,0.812,145.51,41.77
RUN-PB-001,5,EOL04,54.74,2,0.757,141.39,40.16
RUN-PB-001,5,EOL05,47.67,1,,,43.16
RUN-PB-001,5,EOL06,45.2,0,0.765,144.07,43.68
RUN-PB-001,5,EOL07,59.84,0,,,
RUN-PB-001,6,ST01,34.48,1,0.806,142.75,42.51
RUN-PB-001,6,ST02,37.8,1,0.78,145.1,41.2
RUN-PB-001,6,ST03,40.44,0,0.724,141.19,41.09
RUN-PB-001,6,ST04,35.87,1,0.618,,
RUN-PB-001,6,ST05,42.32,2,0.748,146.79,42.57
RUN-PB-001,6,ST06,45.26,0,,,
RUN-PB-001,6,B01,42.59,1,0.713,147.47,40.92
RUN-PB-001,6,B02,44.4,1,0.784,144.01,41.86
RUN-PB-001,6,B03,38.55,2,0.71,145.05,42.18
RUN-PB-001,6,B04,40.24,0,0.719,145.85,41.2
RUN-PB-001,6,B05,43.24,0,0.821,146.25,42.91
RUN-PB-001,6,B06,43.95,0,0.699,146.6,41.81
RUN-PB-001,6,B07,45.84,2,0.658,142.91,43.67
RUN-PB-001,6,B08,37.04,2,0.759,147.1,41.51
RUN-PB-001,6,B09,43.31,1,,144.5,
RUN-PB-001,6,B10,40.27,0,,141.0,
RUN-PB-001,6,B11,49.21,0,0.682,145.41,42.03
RUN-PB-001,6,B12,50.33,0,,,
RUN-PB-001,6,P01,48.43,1,,,42.28
RUN-PB-001,6,P02,54.81,0,0.75,146.55,41.83
RUN-PB-001,6,P03,58.38,0,0.687,147.21,41.64
RUN-PB-001,6,P04,43.72,1,0.763,150.25,41.8
RUN-PB-001,6,P05,41.78,3,0.718,143.38,43.06
RUN-PB-001,6,P06,40.85,3,,,42.63
RUN-PB-001,6,P07,43.82,1,0.795,145.04,41.24
RUN-PB-001,6,P08,45.76,2,0.784,146.37,44.11
RUN-PB-001,6,P09,59.52,2,0.798,144.53,42.74
RUN-PB-001,6,P10,51.92,0,,,
RUN-PB-001,6,BAT01,36.53,0,0.729,145.03,42.57
RUN-PB-001,6,BAT02,40.76,1,0.732,147.59,42.59
RUN-PB-001,6,BAT03,37.43,2,0.771,143.74,41.93
RUN-PB-001,6,BAT04,46.21,0,,,
RUN-PB-001,6,BAT05,43.56,1,0.699,148.04,42.66
RUN-PB-001,6,BAT06,49.85,1,0.807,147.16,42.46
RUN-PB-001,6,BAT07,41.72,4,0.693,149.35,42.78
RUN-PB-001,6,BAT08,54.05,1,0.71,146.05,43.12
RUN-PB-001,6,PT01,45.39,0,0.675,147.43,42.64
RUN-PB-001,6,PT02,48.02,1,0.702,147.7,42.8
RUN-PB-001,6,PT03,44.49,3,,143.66,
RUN-PB-001,6,PT04,39.22,4,0.689,144.99,42.53
RUN-PB-001,6,GA01,41.34,2,,144.85,
RUN-PB-001,6,GA02,44.46,3,0.7,149.55,42.03
RUN-PB-001,6,GA03,49.86,0,,,
RUN-PB-001,6,GA04,42.42,2,,147.78,
RUN-PB-001,6,GA05,39.04,0,0.718,142.43,40.92
RUN-PB-001,6,GA06,44.09,0,,,
RUN-PB-001,6,GA07,43.33,0,,,
RUN-PB-001,6,GA08,41.83,1,,148.8,
RUN-PB-001,6,GA09,45.82,0,,,
RUN-PB-001,6,GA10,48.02,0,0.712,148.78,41.51
RUN-PB-001,6,GA11,49.61,1,0.835,142.93,41.47
RUN-PB-001,6,GA12,43.95,0,0.744,145.52,42.06
RUN-PB-001,6,GA13,37.57,0,0.759,144.79,42.15
RUN-PB-001,6,GA14,42.12,2,0.709,147.03,41.08
RUN-PB-001,6,EOL01,46.49,1,,,42.22
RUN-PB-001,6,EOL02,44.33,0,0.767,149.16,42.58
RUN-PB-001,6,EOL03,51.48,0,0.835,141.17,42.41
RUN-PB-001,6,EOL04,55.34,2,0.747,142.84,41.89
RUN-PB-001,6,EOL05,48.19,1,,,41.61
RUN-PB-001,6,EOL06,45.01,2,0.746,143.74,42.21
RUN-PB-001,6,EOL07,60.18,0,,,
RUN-PB-001,7,ST01,34.45,0,0.708,149.26,41.76
RUN-PB-001,7,ST02,38.97,0,0.8,146.25,42.38
RUN-PB-001,7,ST03,40.05,0,0.787,148.54,42.55
RUN-PB-001,7,ST04,36.09,0,0.836,,
RUN-PB-001,7,ST05,42.64,0,0.868,147.03,41.78
RUN-PB-001,7,ST06,45.66,0,,,
RUN-PB-001,7,B01,41.03,2,0.648,143.63,42.69
RUN-PB-001,7,B02,43.77,0,0.748,143.27,42.0
RUN-PB-001,7,B03,39.48,0,0.749,143.77,43.15
RUN-PB-001,7,B04,40.25,0,0.791,146.36,41.17
RUN-PB-001,7,B05,43.08,1,0.758,142.48,41.11
RUN-PB-001,7,B06,43.06,1,0.667,147.62,41.63
RUN-PB-001,7,B07,45.6,2,0.8,145.21,40.22
RUN-PB-001,7,B08,37.86,1,0.707,145.92,41.75
RUN-PB-001,7,B09,42.55,2,,142.24,
RUN-PB-001,7,B10,39.41,1,,145.28,
RUN-PB-001,7,B11,47.83,1,0.771,145.26,40.78
RUN-PB-001,7,B12,49.15,0,,,
RUN-PB-001,7,P01,48.61,1,,,42.31
RUN-PB-001,7,P02,54.48,1,0.777,145.82,42.74
RUN-PB-001,7,P03,57.39,1,0.754,142.76,41.67
RUN-PB-001,7,P04,43.4,2,0.783,138.29,42.21
RUN-PB-001,7,P05,41.97,2,0.712,145.7,43.41
RUN-PB-001,7,P06,40.22,2,,,43.14
RUN-PB-001,7,P07,45.2,2,0.735,148.09,41.63
RUN-PB-001,7,P08,45.97,0,0.753,144.31,42.75
RUN-PB-001,7,P09,60.3,0,0.752,143.48,42.17
RUN-PB-001,7,P10,52.72,0,,,
RUN-PB-001,7,BAT01,35.25,0,0.676,143.49,40.24
